Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Divergent Branches,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id
92,X ^= v_log2stridem1 ^ v[c];,-,-,145975,78261,145975,1093610000,34995520000,34995520000,1120,1120,0,Shared,Load,32,0,1,0,31246000,31246000,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2673,5368,0,0,0,0,2454,8638,5146,0,0,121694,0,0,2,0,0,0,1566,5163,0,0,0,0,0,0,3121,0,0,68409,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
91,unsigned int c = __ffs(~((i - stride) | v_stridemask)) - 1;,-,-,38355,20377,38355,312460000,9998720000,9998720000,320,320,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1393,0,0,0,0,0,1615,0,0,0,653,789,2484,0,0,0,31421,0,801,0,0,0,0,0,1556,0,0,0,371,0,0,0,0,0,17649,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
89,for (unsigned int i = i0 + stride; i < n_vectors; i += stride),-,-,62507,33184,62507,500000000,16000000000,15000128000,800,768,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1456,1,0,0,0,11,1940,0,0,0,0,832,3965,0,0,0,54302,0,821,1,0,0,0,9,1870,0,0,0,0,0,0,0,0,0,30483,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
87,unsigned int v_stridemask = stride - 1;,-,-,0,0,0,8000,256000,256000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
86,unsigned int v_log2stridem1 = v[__ffs(stride) - 2];,-,-,22,8,22,176000,5632000,5632000,1408,1408,0,Shared,Load,32,0,1,0,4000,4000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
83,d_output[i0] = (float)X * k_2powneg32;,-,-,11,8,11,80000,2560000,2560000,640,640,0,Global,Store,32,4000,0,0,0,0,0,16000,16000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
81,if (i0 < n_vectors),-,-,1,1,1,20000,640000,512000,160,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
78,g >>= 1;,-,-,3,2,3,56000,1792000,1792000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
77,X ^= mask & v[k];,-,-,115,51,115,980000,31360000,31360000,1120,1120,0,Shared,Load,32,0,1,0,28000,28000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,5,0,0,100,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,46,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
76,mask = -(g & 1);,-,-,21,9,21,140000,4480000,4480000,160,160,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
74,for (unsigned int k = 0; k < __ffs(stride) - 1; k++),-,-,88,35,88,832000,26624000,25728000,1184,1156,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,82,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
71,unsigned int X = 0;,-,-,2,1,2,16000,512000,512000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
70,unsigned int g = i0 ^ (i0 >> 1);,-,-,1,1,1,12000,384000,384000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
68,int stride = gridDim.x * blockDim.x;,-,-,0,0,0,24000,768000,768000,192,192,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
67,int i0 = threadIdx.x + blockIdx.x * blockDim.x;,-,-,23,20,23,36000,1152000,1152000,288,288,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
65,__syncthreads();,-,-,2,2,2,12000,384000,384000,96,96,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
63,v[threadIdx.x] = d_directions[threadIdx.x];,-,-,12,10,12,51000,1632000,1632000,1632,1632,0,"Global,Shared","Load,Store",32(2),1000,1,0,1000,1000,0,4000,4000,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
61,if (threadIdx.x < n_directions),-,-,4,1,4,21000,672000,640000,192,184,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
58,d_output += n_vectors * blockIdx.y;,-,-,7,5,7,48000,1536000,1536000,384,384,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
57,d_directions += n_directions * blockIdx.y;,-,-,5,2,5,48000,1536000,1536000,384,384,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
51,"void sobolGPU_kernel(unsigned n_vectors, unsigned n_dimensions,",-,-,52,44,52,104000,3328000,3328000,832,832,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,32,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,0,0,4,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",23
95,},-,-,161,135,161,16000,512000,512000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,6,0,1,0,0,0,0,126,0,0,0,0,0,0,0,0,28,0,3,0,1,0,0,0,0,106,0,0,0,0,0,0,0,0,25,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
93,d_output[i] = (float)X * k_2powneg32;,-,-,124784,66209,124784,499936000,15997952000,15997952000,512,512,0,Global,Store,32,31246000,0,0,0,0,0,124984000,124984000,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,4413,0,0,0,0,1715,7905,0,0,0,110750,0,0,1,0,0,0,0,4280,0,0,0,0,0,0,0,0,0,61928,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
92,X ^= v_log2stridem1 ^ v[c];,-,-,291949,156962,291949,1093610000,34995520000,34995520000,1120,1120,0,Shared,Load,32,0,1,0,31246000,31246000,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,5113,10730,0,0,0,0,4872,17504,10182,0,0,243544,0,0,2,0,0,0,3061,10294,0,0,0,0,0,0,6118,0,0,137487,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
91,unsigned int c = __ffs(~((i - stride) | v_stridemask)) - 1;,-,-,77126,41005,77126,312460000,9998720000,9998720000,320,320,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2999,0,0,0,0,0,3107,0,0,0,1317,1487,4925,0,0,0,63291,0,1715,0,0,0,0,0,2993,0,0,0,750,0,0,0,0,0,35547,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
89,for (unsigned int i = i0 + stride; i < n_vectors; i += stride),-,-,125002,66542,125002,500000000,16000000000,15000128000,800,768,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2994,3,0,0,0,41,3809,0,0,0,0,1735,7934,0,0,0,108486,0,1784,3,0,0,0,33,3658,0,0,0,0,0,0,0,0,0,61064,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
87,unsigned int v_stridemask = stride - 1;,-,-,1,0,1,8000,256000,256000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
86,unsigned int v_log2stridem1 = v[__ffs(stride) - 2];,-,-,31,16,31,176000,5632000,5632000,1408,1408,0,Shared,Load,32,0,1,0,4000,4000,0,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
83,d_output[i0] = (float)X * k_2powneg32;,-,-,24,11,24,80000,2560000,2560000,640,640,0,Global,Store,32,4000,0,0,0,0,0,16000,16000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
81,if (i0 < n_vectors),-,-,3,2,3,20000,640000,512000,160,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
78,g >>= 1;,-,-,10,5,10,56000,1792000,1792000,64,64,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
77,X ^= mask & v[k];,-,-,223,116,223,980000,31360000,31360000,1120,1120,0,Shared,Load,32,0,1,0,28000,28000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,1,14,5,0,0,186,0,0,0,0,0,0,3,12,0,0,0,0,0,0,2,0,0,99,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
76,mask = -(g & 1);,-,-,33,17,33,140000,4480000,4480000,160,160,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
74,for (unsigned int k = 0; k < __ffs(stride) - 1; k++),-,-,185,100,185,832000,26624000,25728000,1184,1156,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,1,1,14,0,0,0,157,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,89,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
71,unsigned int X = 0;,-,-,3,3,3,16000,512000,512000,128,128,0,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"sobolGPU_kernel(unsigned int, unsigned int, unsigned int *, float *)",24
